season,week,celebrity_name,partner,age,industry,total_judge_score,num_judges,is_eliminated,placement,result_description
2,1,Tatum O'Neal,Nick Kosovich,42,Actor/Actress,23.0,3,0,9,Eliminated Week 2
2,1,Giselle Fernandez,Jonathan Roberts,44,News Anchor,23.0,3,0,8,Eliminated Week 3
2,1,Stacy Keibler,Tony Dovolani,26,Athlete,22.0,3,0,3,3rd Place
2,1,Jerry Rice,Anna Trebunskaya,43,Athlete,21.0,3,0,2,2nd Place
2,1,Tia Carrere,Maksim Chmerkoskiy,39,Actor/Actress,20.0,3,0,6,Eliminated Week 5
2,1,Lisa Rinna,Louis van Amstel,42,Actor/Actress,19.0,3,0,4,Eliminated Week 7
2,1,George Hamilton,Edyta Sliwinska,66,Actor/Actress,18.0,3,0,5,Eliminated Week 6
2,1,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,13.0,3,1,10,Eliminated Week 1
2,1,Master P,Ashly DelGrosso,35,Singer/Rapper,12.0,3,0,7,Eliminated Week 4
2,2,Stacy Keibler,Tony Dovolani,26,Athlete,29.0,3,0,3,3rd Place
2,2,Drew Lachey,Cheryl Burke,29,Singer/Rapper,27.0,3,0,1,1st Place
2,2,Giselle Fernandez,Jonathan Roberts,44,News Anchor,24.0,3,0,8,Eliminated Week 3
2,2,Jerry Rice,Anna Trebunskaya,43,Athlete,23.0,3,0,2,2nd Place
2,2,Tia Carrere,Maksim Chmerkoskiy,39,Actor/Actress,22.0,3,0,6,Eliminated Week 5
2,2,George Hamilton,Edyta Sliwinska,66,Actor/Actress,22.0,3,0,5,Eliminated Week 6
2,2,Lisa Rinna,Louis van Amstel,42,Actor/Actress,20.0,3,0,4,Eliminated Week 7
2,2,Tatum O'Neal,Nick Kosovich,42,Actor/Actress,17.0,3,1,9,Eliminated Week 2
2,2,Master P,Ashly DelGrosso,35,Singer/Rapper,16.0,3,0,7,Eliminated Week 4
2,2,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,0.0,3,0,10,Eliminated Week 1
2,3,Stacy Keibler,Tony Dovolani,26,Athlete,27.0,3,0,3,3rd Place
2,3,Drew Lachey,Cheryl Burke,29,Singer/Rapper,27.0,3,0,1,1st Place
2,3,Tia Carrere,Maksim Chmerkoskiy,39,Actor/Actress,26.0,3,0,6,Eliminated Week 5
2,3,Lisa Rinna,Louis van Amstel,42,Actor/Actress,25.0,3,0,4,Eliminated Week 7
2,3,George Hamilton,Edyta Sliwinska,66,Actor/Actress,22.0,3,0,5,Eliminated Week 6
2,3,Giselle Fernandez,Jonathan Roberts,44,News Anchor,22.0,3,1,8,Eliminated Week 3
2,3,Jerry Rice,Anna Trebunskaya,43,Athlete,19.0,3,0,2,2nd Place
2,3,Master P,Ashly DelGrosso,35,Singer/Rapper,14.0,3,0,7,Eliminated Week 4
2,3,Tatum O'Neal,Nick Kosovich,42,Actor/Actress,0.0,3,0,9,Eliminated Week 2
2,3,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,0.0,3,0,10,Eliminated Week 1
2,4,Drew Lachey,Cheryl Burke,29,Singer/Rapper,28.0,3,0,1,1st Place
2,4,Lisa Rinna,Louis van Amstel,42,Actor/Actress,26.0,3,0,4,Eliminated Week 7
2,4,Stacy Keibler,Tony Dovolani,26,Athlete,26.0,3,0,3,3rd Place
2,4,Tia Carrere,Maksim Chmerkoskiy,39,Actor/Actress,25.0,3,0,6,Eliminated Week 5
2,4,Jerry Rice,Anna Trebunskaya,43,Athlete,24.0,3,0,2,2nd Place
2,4,George Hamilton,Edyta Sliwinska,66,Actor/Actress,21.0,3,0,5,Eliminated Week 6
2,4,Master P,Ashly DelGrosso,35,Singer/Rapper,8.0,3,1,7,Eliminated Week 4
2,4,Tatum O'Neal,Nick Kosovich,42,Actor/Actress,0.0,3,0,9,Eliminated Week 2
2,4,Giselle Fernandez,Jonathan Roberts,44,News Anchor,0.0,3,0,8,Eliminated Week 3
2,4,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,0.0,3,0,10,Eliminated Week 1
2,5,Stacy Keibler,Tony Dovolani,26,Athlete,30.0,3,0,3,3rd Place
2,5,Drew Lachey,Cheryl Burke,29,Singer/Rapper,27.0,3,0,1,1st Place
2,5,Lisa Rinna,Louis van Amstel,42,Actor/Actress,25.0,3,0,4,Eliminated Week 7
2,5,George Hamilton,Edyta Sliwinska,66,Actor/Actress,24.0,3,0,5,Eliminated Week 6
2,5,Jerry Rice,Anna Trebunskaya,43,Athlete,23.0,3,0,2,2nd Place
2,5,Tia Carrere,Maksim Chmerkoskiy,39,Actor/Actress,22.0,3,1,6,Eliminated Week 5
2,5,Tatum O'Neal,Nick Kosovich,42,Actor/Actress,0.0,3,0,9,Eliminated Week 2
2,5,Giselle Fernandez,Jonathan Roberts,44,News Anchor,0.0,3,0,8,Eliminated Week 3
2,5,Master P,Ashly DelGrosso,35,Singer/Rapper,0.0,3,0,7,Eliminated Week 4
2,5,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,0.0,3,0,10,Eliminated Week 1
2,6,Stacy Keibler,Tony Dovolani,26,Athlete,30.0,3,0,3,3rd Place
2,6,Drew Lachey,Cheryl Burke,29,Singer/Rapper,30.0,3,0,1,1st Place
2,6,Lisa Rinna,Louis van Amstel,42,Actor/Actress,27.0,3,0,4,Eliminated Week 7
2,6,George Hamilton,Edyta Sliwinska,66,Actor/Actress,23.0,3,1,5,Eliminated Week 6
2,6,Jerry Rice,Anna Trebunskaya,43,Athlete,23.0,3,0,2,2nd Place
2,6,Tatum O'Neal,Nick Kosovich,42,Actor/Actress,0.0,3,0,9,Eliminated Week 2
2,6,Tia Carrere,Maksim Chmerkoskiy,39,Actor/Actress,0.0,3,0,6,Eliminated Week 5
2,6,Giselle Fernandez,Jonathan Roberts,44,News Anchor,0.0,3,0,8,Eliminated Week 3
2,6,Master P,Ashly DelGrosso,35,Singer/Rapper,0.0,3,0,7,Eliminated Week 4
2,6,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,0.0,3,0,10,Eliminated Week 1
2,7,Stacy Keibler,Tony Dovolani,26,Athlete,27.5,3,0,3,3rd Place
2,7,Drew Lachey,Cheryl Burke,29,Singer/Rapper,27.5,3,0,1,1st Place
2,7,Lisa Rinna,Louis van Amstel,42,Actor/Actress,26.5,3,1,4,Eliminated Week 7
2,7,Jerry Rice,Anna Trebunskaya,43,Athlete,20.5,3,0,2,2nd Place
2,7,Tatum O'Neal,Nick Kosovich,42,Actor/Actress,0.0,3,0,9,Eliminated Week 2
2,7,Tia Carrere,Maksim Chmerkoskiy,39,Actor/Actress,0.0,3,0,6,Eliminated Week 5
2,7,George Hamilton,Edyta Sliwinska,66,Actor/Actress,0.0,3,0,5,Eliminated Week 6
2,7,Giselle Fernandez,Jonathan Roberts,44,News Anchor,0.0,3,0,8,Eliminated Week 3
2,7,Master P,Ashly DelGrosso,35,Singer/Rapper,0.0,3,0,7,Eliminated Week 4
2,7,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,0.0,3,0,10,Eliminated Week 1
2,8,Drew Lachey,Cheryl Burke,29,Singer/Rapper,28.9998,3,0,1,1st Place
2,8,Stacy Keibler,Tony Dovolani,26,Athlete,28.6665,3,0,3,3rd Place
2,8,Jerry Rice,Anna Trebunskaya,43,Athlete,26.666600000000003,3,0,2,2nd Place
2,8,Tatum O'Neal,Nick Kosovich,42,Actor/Actress,0.0,3,0,9,Eliminated Week 2
2,8,Tia Carrere,Maksim Chmerkoskiy,39,Actor/Actress,0.0,3,0,6,Eliminated Week 5
2,8,George Hamilton,Edyta Sliwinska,66,Actor/Actress,0.0,3,0,5,Eliminated Week 6
2,8,Lisa Rinna,Louis van Amstel,42,Actor/Actress,0.0,3,0,4,Eliminated Week 7
2,8,Giselle Fernandez,Jonathan Roberts,44,News Anchor,0.0,3,0,8,Eliminated Week 3
2,8,Master P,Ashly DelGrosso,35,Singer/Rapper,0.0,3,0,7,Eliminated Week 4
2,8,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,0.0,3,0,10,Eliminated Week 1
3,1,Mario Lopez,Karina Smirnoff,32,Actor/Actress,26.0,3,0,2,2nd Place
3,1,Emmitt Smith,Cheryl Burke,37,Athlete,24.0,3,0,1,1st Place
3,1,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,22.0,3,0,8,Eliminated Week 4
3,1,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,22.0,3,0,7,Eliminated Week 5
3,1,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,21.0,3,0,3,3rd Place
3,1,Monique Coleman,Louis van Amstel,25,Actor/Actress,19.0,3,0,4,Eliminated Week 8
3,1,Shanna Moakler,Jesse DeSoto,31,Model,18.0,3,0,10,Eliminated Week 2
3,1,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,17.0,3,0,9,Eliminated Week 3
3,1,Jerry Springer,Kym Johnson,62,TV Personality,16.0,3,0,5,Eliminated Week 7
3,1,Sara Evans,Tony Dovolani,35,Singer/Rapper,15.0,3,0,6,Withdrew
3,1,Tucker Carlson,Elena Grinenko,37,TV Personality,12.0,3,1,11,Eliminated Week 1
3,2,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,29.0,3,0,3,3rd Place
3,2,Monique Coleman,Louis van Amstel,25,Actor/Actress,26.0,3,0,4,Eliminated Week 8
3,2,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,24.0,3,0,8,Eliminated Week 4
3,2,Emmitt Smith,Cheryl Burke,37,Athlete,24.0,3,0,1,1st Place
3,2,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,23.0,3,0,7,Eliminated Week 5
3,2,Shanna Moakler,Jesse DeSoto,31,Model,22.0,3,1,10,Eliminated Week 2
3,2,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,21.0,3,0,9,Eliminated Week 3
3,2,Mario Lopez,Karina Smirnoff,32,Actor/Actress,21.0,3,0,2,2nd Place
3,2,Sara Evans,Tony Dovolani,35,Singer/Rapper,21.0,3,0,6,Withdrew
3,2,Jerry Springer,Kym Johnson,62,TV Personality,19.0,3,0,5,Eliminated Week 7
3,2,Tucker Carlson,Elena Grinenko,37,TV Personality,0.0,3,0,11,Eliminated Week 1
3,3,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,27.0,3,0,8,Eliminated Week 4
3,3,Monique Coleman,Louis van Amstel,25,Actor/Actress,27.0,3,0,4,Eliminated Week 8
3,3,Sara Evans,Tony Dovolani,35,Singer/Rapper,25.0,3,0,6,Withdrew
3,3,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,22.0,3,1,9,Eliminated Week 3
3,3,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,22.0,3,0,3,3rd Place
3,3,Mario Lopez,Karina Smirnoff,32,Actor/Actress,22.0,3,0,2,2nd Place
3,3,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,22.0,3,0,7,Eliminated Week 5
3,3,Jerry Springer,Kym Johnson,62,TV Personality,21.0,3,0,5,Eliminated Week 7
3,3,Emmitt Smith,Cheryl Burke,37,Athlete,19.0,3,0,1,1st Place
3,3,Shanna Moakler,Jesse DeSoto,31,Model,0.0,3,0,10,Eliminated Week 2
3,3,Tucker Carlson,Elena Grinenko,37,TV Personality,0.0,3,0,11,Eliminated Week 1
3,4,Mario Lopez,Karina Smirnoff,32,Actor/Actress,29.0,3,0,2,2nd Place
3,4,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,28.0,3,0,7,Eliminated Week 5
3,4,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,27.0,3,0,3,3rd Place
3,4,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,24.0,3,1,8,Eliminated Week 4
3,4,Monique Coleman,Louis van Amstel,25,Actor/Actress,24.0,3,0,4,Eliminated Week 8
3,4,Emmitt Smith,Cheryl Burke,37,Athlete,24.0,3,0,1,1st Place
3,4,Jerry Springer,Kym Johnson,62,TV Personality,22.0,3,0,5,Eliminated Week 7
3,4,Sara Evans,Tony Dovolani,35,Singer/Rapper,20.0,3,0,6,Withdrew
3,4,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,0.0,3,0,9,Eliminated Week 3
3,4,Shanna Moakler,Jesse DeSoto,31,Model,0.0,3,0,10,Eliminated Week 2
3,4,Tucker Carlson,Elena Grinenko,37,TV Personality,0.0,3,0,11,Eliminated Week 1
3,5,Monique Coleman,Louis van Amstel,25,Actor/Actress,27.0,3,0,4,Eliminated Week 8
3,5,Mario Lopez,Karina Smirnoff,32,Actor/Actress,27.0,3,0,2,2nd Place
3,5,Emmitt Smith,Cheryl Burke,37,Athlete,27.0,3,0,1,1st Place
3,5,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,27.0,3,1,7,Eliminated Week 5
3,5,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,25.0,3,0,3,3rd Place
3,5,Sara Evans,Tony Dovolani,35,Singer/Rapper,24.0,3,0,6,Withdrew
3,5,Jerry Springer,Kym Johnson,62,TV Personality,24.0,3,0,5,Eliminated Week 7
3,5,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,0.0,3,0,9,Eliminated Week 3
3,5,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,0.0,3,0,8,Eliminated Week 4
3,5,Shanna Moakler,Jesse DeSoto,31,Model,0.0,3,0,10,Eliminated Week 2
3,5,Tucker Carlson,Elena Grinenko,37,TV Personality,0.0,3,0,11,Eliminated Week 1
3,6,Mario Lopez,Karina Smirnoff,32,Actor/Actress,28.0,3,0,2,2nd Place
3,6,Emmitt Smith,Cheryl Burke,37,Athlete,25.0,3,0,1,1st Place
3,6,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,24.0,3,0,3,3rd Place
3,6,Monique Coleman,Louis van Amstel,25,Actor/Actress,23.0,3,0,4,Eliminated Week 8
3,6,Jerry Springer,Kym Johnson,62,TV Personality,18.0,3,0,5,Eliminated Week 7
3,6,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,0.0,3,0,9,Eliminated Week 3
3,6,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,0.0,3,0,8,Eliminated Week 4
3,6,Shanna Moakler,Jesse DeSoto,31,Model,0.0,3,0,10,Eliminated Week 2
3,6,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,0.0,3,0,7,Eliminated Week 5
3,6,Sara Evans,Tony Dovolani,35,Singer/Rapper,0.0,3,0,6,Withdrew
3,6,Tucker Carlson,Elena Grinenko,37,TV Personality,0.0,3,0,11,Eliminated Week 1
3,7,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,28.5,3,0,3,3rd Place
3,7,Emmitt Smith,Cheryl Burke,37,Athlete,28.5,3,0,1,1st Place
3,7,Mario Lopez,Karina Smirnoff,32,Actor/Actress,28.0,3,0,2,2nd Place
3,7,Monique Coleman,Louis van Amstel,25,Actor/Actress,27.0,3,0,4,Eliminated Week 8
3,7,Jerry Springer,Kym Johnson,62,TV Personality,23.0,3,1,5,Eliminated Week 7
3,7,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,0.0,3,0,9,Eliminated Week 3
3,7,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,0.0,3,0,8,Eliminated Week 4
3,7,Shanna Moakler,Jesse DeSoto,31,Model,0.0,3,0,10,Eliminated Week 2
3,7,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,0.0,3,0,7,Eliminated Week 5
3,7,Sara Evans,Tony Dovolani,35,Singer/Rapper,0.0,3,0,6,Withdrew
3,7,Tucker Carlson,Elena Grinenko,37,TV Personality,0.0,3,0,11,Eliminated Week 1
3,8,Mario Lopez,Karina Smirnoff,32,Actor/Actress,28.5,3,0,2,2nd Place
3,8,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,27.0,3,0,3,3rd Place
3,8,Emmitt Smith,Cheryl Burke,37,Athlete,27.0,3,0,1,1st Place
3,8,Monique Coleman,Louis van Amstel,25,Actor/Actress,26.5,3,1,4,Eliminated Week 8
3,8,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,0.0,3,0,9,Eliminated Week 3
3,8,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,0.0,3,0,8,Eliminated Week 4
3,8,Shanna Moakler,Jesse DeSoto,31,Model,0.0,3,0,10,Eliminated Week 2
3,8,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,0.0,3,0,7,Eliminated Week 5
3,8,Sara Evans,Tony Dovolani,35,Singer/Rapper,0.0,3,0,6,Withdrew
3,8,Jerry Springer,Kym Johnson,62,TV Personality,0.0,3,0,5,Eliminated Week 7
3,8,Tucker Carlson,Elena Grinenko,37,TV Personality,0.0,3,0,11,Eliminated Week 1
3,9,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,29.5,3,0,3,3rd Place
3,9,Mario Lopez,Karina Smirnoff,32,Actor/Actress,29.5,3,0,2,2nd Place
3,9,Emmitt Smith,Cheryl Burke,37,Athlete,29.5,3,0,1,1st Place
3,9,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,0.0,3,0,9,Eliminated Week 3
3,9,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,0.0,3,0,8,Eliminated Week 4
3,9,Monique Coleman,Louis van Amstel,25,Actor/Actress,0.0,3,0,4,Eliminated Week 8
3,9,Shanna Moakler,Jesse DeSoto,31,Model,0.0,3,0,10,Eliminated Week 2
3,9,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,0.0,3,0,7,Eliminated Week 5
3,9,Sara Evans,Tony Dovolani,35,Singer/Rapper,0.0,3,0,6,Withdrew
3,9,Jerry Springer,Kym Johnson,62,TV Personality,0.0,3,0,5,Eliminated Week 7
3,9,Tucker Carlson,Elena Grinenko,37,TV Personality,0.0,3,0,11,Eliminated Week 1
3,10,Mario Lopez,Karina Smirnoff,32,Actor/Actress,29.666600000000003,3,0,2,2nd Place
3,10,Emmitt Smith,Cheryl Burke,37,Athlete,29.666600000000003,3,0,1,1st Place
3,10,Harry Hamlin,Ashly DelGrosso,54,Actor/Actress,0.0,3,0,9,Eliminated Week 3
3,10,Vivica A. Fox,Nick Kosovich,42,Actor/Actress,0.0,3,0,8,Eliminated Week 4
3,10,Monique Coleman,Louis van Amstel,25,Actor/Actress,0.0,3,0,4,Eliminated Week 8
3,10,Joey Lawrence,Edyta Sliwinska,30,Actor/Actress,0.0,3,0,3,3rd Place
3,10,Shanna Moakler,Jesse DeSoto,31,Model,0.0,3,0,10,Eliminated Week 2
3,10,Willa Ford,Maksim Chmerkoskiy,25,Singer/Rapper,0.0,3,0,7,Eliminated Week 5
3,10,Sara Evans,Tony Dovolani,35,Singer/Rapper,0.0,3,0,6,Withdrew
3,10,Jerry Springer,Kym Johnson,62,TV Personality,0.0,3,0,5,Eliminated Week 7
3,10,Tucker Carlson,Elena Grinenko,37,TV Personality,0.0,3,0,11,Eliminated Week 1
4,1,Joey Fatone,Kym Johnson,30,Singer/Rapper,24.0,3,0,2,2nd Place
4,1,Laila Ali,Maksim Chmerkoskiy,29,Athlete,23.0,3,0,3,3rd Place
4,1,Ian Ziering,Cheryl Burke,42,Actor/Actress,21.0,3,0,4,Eliminated Week 9
4,1,Apolo Anton Ohno,Julianne Hough,24,Athlete,21.0,3,0,1,1st Place
4,1,Shandi Finnessey,Brian Fortuna,28,Beauty Pagent,19.0,3,0,10,Eliminated Week 3
4,1,Paulina Porizkova,Alec Mazo,41,Model,19.0,3,0,11,Eliminated Week 2
4,1,Heather Mills,Jonathan Roberts,39,Model,18.0,3,0,7,Eliminated Week 6
4,1,John Ratzenberger,Edyta Sliwinska,59,Actor/Actress,17.0,3,0,6,Eliminated Week 7
4,1,Clyde Drexler,Elena Grinenko,44,Athlete,16.0,3,0,8,Eliminated Week 5
4,1,Leeza Gibbons,Tony Dovolani,50,TV Personality,15.0,3,0,9,Eliminated Week 4
4,1,Billy Ray Cyrus,Karina Smirnoff,45,Singer/Rapper,13.0,3,0,5,Eliminated Week 8
4,2,Laila Ali,Maksim Chmerkoskiy,29,Athlete,27.0,3,0,3,3rd Place
4,2,Apolo Anton Ohno,Julianne Hough,24,Athlete,26.0,3,0,1,1st Place
4,2,Heather Mills,Jonathan Roberts,39,Model,24.0,3,0,7,Eliminated Week 6
4,2,Joey Fatone,Kym Johnson,30,Singer/Rapper,24.0,3,0,2,2nd Place
4,2,Ian Ziering,Cheryl Burke,42,Actor/Actress,22.0,3,0,4,Eliminated Week 9
4,2,John Ratzenberger,Edyta Sliwinska,59,Actor/Actress,21.0,3,0,6,Eliminated Week 7
4,2,Paulina Porizkova,Alec Mazo,41,Model,21.0,3,1,11,Eliminated Week 2
4,2,Billy Ray Cyrus,Karina Smirnoff,45,Singer/Rapper,21.0,3,0,5,Eliminated Week 8
4,2,Leeza Gibbons,Tony Dovolani,50,TV Personality,21.0,3,0,9,Eliminated Week 4
4,2,Shandi Finnessey,Brian Fortuna,28,Beauty Pagent,20.0,3,0,10,Eliminated Week 3
4,2,Clyde Drexler,Elena Grinenko,44,Athlete,18.0,3,0,8,Eliminated Week 5
4,3,Ian Ziering,Cheryl Burke,42,Actor/Actress,24.0,3,0,4,Eliminated Week 9
4,3,Heather Mills,Jonathan Roberts,39,Model,24.0,3,0,7,Eliminated Week 6
4,3,Joey Fatone,Kym Johnson,30,Singer/Rapper,24.0,3,0,2,2nd Place
4,3,Leeza Gibbons,Tony Dovolani,50,TV Personality,24.0,3,0,9,Eliminated Week 4
4,3,Apolo Anton Ohno,Julianne Hough,24,Athlete,23.0,3,0,1,1st Place
4,3,Laila Ali,Maksim Chmerkoskiy,29,Athlete,21.0,3,0,3,3rd Place
4,3,Shandi Finnessey,Brian Fortuna,28,Beauty Pagent,21.0,3,1,10,Eliminated Week 3
4,3,Billy Ray Cyrus,Karina Smirnoff,45,Singer/Rapper,21.0,3,0,5,Eliminated Week 8
4,3,John Ratzenberger,Edyta Sliwinska,59,Actor/Actress,20.0,3,0,6,Eliminated Week 7
4,3,Clyde Drexler,Elena Grinenko,44,Athlete,16.0,3,0,8,Eliminated Week 5
4,3,Paulina Porizkova,Alec Mazo,41,Model,0.0,3,0,11,Eliminated Week 2
4,4,Joey Fatone,Kym Johnson,30,Singer/Rapper,28.0,3,0,2,2nd Place
4,4,Apolo Anton Ohno,Julianne Hough,24,Athlete,26.0,3,0,1,1st Place
4,4,Ian Ziering,Cheryl Burke,42,Actor/Actress,24.0,3,0,4,Eliminated Week 9
4,4,Heather Mills,Jonathan Roberts,39,Model,23.0,3,0,7,Eliminated Week 6
4,4,Laila Ali,Maksim Chmerkoskiy,29,Athlete,21.0,3,0,3,3rd Place
4,4,Billy Ray Cyrus,Karina Smirnoff,45,Singer/Rapper,21.0,3,0,5,Eliminated Week 8
4,4,John Ratzenberger,Edyta Sliwinska,59,Actor/Actress,16.0,3,0,6,Eliminated Week 7
4,4,Leeza Gibbons,Tony Dovolani,50,TV Personality,16.0,3,1,9,Eliminated Week 4
4,4,Clyde Drexler,Elena Grinenko,44,Athlete,15.0,3,0,8,Eliminated Week 5
4,4,Shandi Finnessey,Brian Fortuna,28,Beauty Pagent,0.0,3,0,10,Eliminated Week 3
4,4,Paulina Porizkova,Alec Mazo,41,Model,0.0,3,0,11,Eliminated Week 2
4,5,Apolo Anton Ohno,Julianne Hough,24,Athlete,30.0,3,0,1,1st Place
4,5,Laila Ali,Maksim Chmerkoskiy,29,Athlete,28.0,3,0,3,3rd Place
4,5,Joey Fatone,Kym Johnson,30,Singer/Rapper,25.0,3,0,2,2nd Place
4,5,Ian Ziering,Cheryl Burke,42,Actor/Actress,24.0,3,0,4,Eliminated Week 9
4,5,Heather Mills,Jonathan Roberts,39,Model,21.0,3,0,7,Eliminated Week 6
4,5,John Ratzenberger,Edyta Sliwinska,59,Actor/Actress,18.0,3,0,6,Eliminated Week 7
4,5,Billy Ray Cyrus,Karina Smirnoff,45,Singer/Rapper,17.0,3,0,5,Eliminated Week 8
